S No,Website,Active Voice ,Passive Voice,
1598,,Students should study all lessons.,All lessons should be studied by students.,
1599,,Students should not study all lessons.,All lessons should not be studied by students.,
1600,,Should students study all lessons?,Should all lessons be studied by students?,
1601,,You must learn the test-taking strategies.,Test-taking strategies must be learnt by you.,
1602,,You must not learn the test-taking strategies.,Test-taking strategies must not be learned by you.,
1603,,They ought to take the examination.,The examination ought to be taken by them.,
1604,,You may have availed the opportunity.,The opportunity may have been availed by you.,
1605,,You may not have availed the opportunity.,The opportunity may not have been availed by you.,
1606,,He might have eaten meal.,Meal might have been eaten by him.,
1607,,He might not have eaten meal.,Meal might not have been eaten by him.,
1608,,You should have studied the book.,The book should have been studied by you.,
1609,,You should not have studied the book.,The book should have not been studied by you.,
1610,,He must have started job.,Job must have been started by you.,
1611,,He must not have started job.,Job must not have been started by you.,
1612,,You ought to have helped him.,He ought to have been helped by you,
1613,,Complete the work.,Let the worked be completed.,
1614,,Turn off the television.,Let the television be tuned off.,
1615,,Kill the snake.,Let the snake be killed.,
1616,,Punish him.,Let him be punished.,
1617,,Speak the truth.,Let the truth be spoken.,
1618,,Help the poor.,Let the poor be helped.,
1619,,Revise your book.,Let your book be revised.,
1620,,He served us., We were served by him.,
1621,,My sister taught me to paint.,I was taught to paint by my sister. ,
1622,,I studied five species of birds in my biology lab. ,Five species of birds were studied in my biology lab.,
1623,,I have always enjoyed being outdoors.,Being outdoors has always been enjoyed by me,
1624,,The teacher gave Julie a detention.,Julie was given a detention by the teacher,
1625,,You must return the library book today.,The library book must be returned today.,
1626,,People could hear the party from blocks away,The party could be heard from blocks away.,
1627,,Researchers collected data on the behaviour of children. ,Data on behaviour of children was collected by researchers.,
1628,,The study on the children reveals that food affects behaviour.,The effects of food on children's behaviour were revealed.,
1629,,The education observers argue that food affects behaviour. ,That food affects behaviour was argued by the education observers.,
1630,,Academic skills lecturers teach the students how to write essays during Orientation Week. ,Students are taught how to write essays by academic skills lecturers during Orientation Week. ,
1631,,Students learn about referencing and plagiarism.,Referencing and plagiarism is learned by the students. ,
1632,,Lecturers and students at the university use TurnItIn to identify plagiarism in assignments ,TurnItIn is used by lecturers and students at the university to identify plagiarism in assignments. ,
1633,,Hurricane Katrina destroyed many homes and businesses.,Many homes and businesses were destroyed by Hurricane Katrina.,
1634,,JCCC students painted the mural on the college campus.,The mural on the college campus was painted by JCCC students .,
1635,,The hungry dog devoured the bone. ,The bone was devoured by the hungry dog. ,
1636,,Napolean lost the Battle of Waterloo. ,The Battle of Waterloo was lost by Napolean. ,
1637,,Violence in nature causes bad social environments. ,Bad social environments are caused by the violence in nature. ,
1638,,We followed Betty up and down the subway stairs of New York. ,Betty was followed by us up and down the subway stairs of New York. ,
1639,,The technophobes tossed the computers out the window. ,The computers were tossed out the window by the technophobes. ,
1640,,Cool-headed police dispersed rioters with tear gas. ,The angry rioters were dispersed with tear gas by cool-headed police. ,
1641,,Charlene ate the apple.,The apple was eaten by Charlene.,
1642,,Many people consider clams a delicacy.,Clams are considered a delicacy by many people.,
1643,http://www.preparebetter.in/english/voice/active-and-passive-voice-of-interrogative-sentences,Does she cook the food?,Is the food cooked by her? ,
1644,,Does Shubham write homework? ,Is homework written by Shubham? ,
1645,,Does Simran learn English? ,Is English learnt by Simran?,
1646,,Does Sachin play cricket?,Is cricket played by Sachin?,
1647,,Is she cooking the food?,Is the food being cooked by her?,
1648,,Is Shubham writing homework? ,Is homework being written by Shubham?,
1649,,Is Simran learning English? ,Is English being learnt by Simran? ,
1650,,Is Sachin playing cricket? ,Is cricket being played by Sachin? ,
1651,,Did she cook the food? ,Was the food cooked by her?,
1652,,Did Shubham write homework? ,Was homework written by Shubham?,
1653,,Did Simran learn English? ,Was English learnt by Simran?,
1654,,Did Sachin play cricket? ,Was cricket played by Sachin? ,
1655,,Was she cooking the food?,Was the food being cooked by her?,
1656,,Was Shubham writing homework? ,Was homework being written by Shubham?,
1657,,Was Simran learning English? ,Was English being learnt by Simran?,
1658,,Was Sachin playing cricket? ,Was cricket being played by Sachin?,
1659,,Has she cooked the food?,Has the food been cooked by her?,
1660,,Has Shubham written homework? ,Has homework been written by Shubham?,
1661,,Has Simran learnt English?,Has English been learnt by Simran?,
1662,,Had Sachin played cricket?,Had cricket been played by Sachin? ,
1663,,Can she cook the food?,Can the food be cooked by her?,
1664,,Should Shubham write homework? ,Should homework be written by Shubham?,
1665,,Would Simran learn English? ,Would English be learnt by Simran?,
1666,,May Sachin play cricket? ,May cricket be played by Sachin? ,
1667,,Why did she punish you?,Why were you punished by her? ,
1668,,Where had he taken Priya? ,Where Priya had been taken by him?,
1669,,When are you giving her the key? ,When the key is being given to her by you?,
1670,,Which book did you purchase? ,Which book was purchased by you?,
1671,,Who wrote this letter? ,By whom this letter was written? ,
1672,,Who will call him? ,By whom he will be called?,
1673,,Who painted this beautiful painting? ,By whom was this beautiful painting painted? ,
1674,,Who invited you? ,By whom are you invited? ,
1675,,Who lent you this book?,By whom were you lent this book? ,
1676,,Whom has the principal honoured? ,Who has been honoured by the principal?,
1677,,Whom has the police arrested? ,Who has been arrested by police? ,
1678,,Whom have the people elected? ,Who has been elected by the people?,
1679,,Whom have the selectors selected? ,Who has been selected by the selectors? ,
1680,,Whom has she called? ,Who has been called by her?,
1681,,Please close the door. ,You are requested to close the door. ,
1682,,Please bring me some apples.,You are requested to bring me some water.,
1683,,Please show me your tickets. ,You are requested to show me your tickets.,
1684,,Do yoga daily. ,You are advised to do yoga daily.,
1685,,Do your homework neatly. ,You are advised to do your homework neatly.,
1686,,Do not drink. ,You are advised not to drink.,
1687,,Switch off the fan. ,Let the fan be switched off. ,
1688,,Call the attendant.,Let the attendant be called.,
1689,,Cook the food. ,Let the food be cooked.,
1690,,Switch off the fan.,You are ordered to switch off the fan. ,
1691,,Call the attendant.,You are ordered to call the attendant. ,
1692,,Cook the food.,You are ordered to cook the food. ,
1693,,Respect parents. ,Parents should be respected. ,
1694,,Love the kids. ,The kids should be loved.,
1695,,Follow your dreams. ,Your dreams should be followed. ,
1696,,He looks like Salman Khan.,Salman Khan is looked like him.,
1697,https://www.orammar.com/active-or-passive-voice/,John eats apples.,Apples are eaten by john.,
1698,,She sings songs.,Songs are sung by her.,
1699,,He reads books.,Books are read by him.,
1700,,Cats like fish.,Fish is eaten by cats.,
1701,,A washing machine washes clothes.,Clothes are washed by a washing machine.,
1702,,Radha loves krishna.,Krishna is loved by radha.,
1703,,The poachers are killing the tigers.,Tigers are being killed by the poachers.,
1704,,The doctor is giving the patient .,The patient is being given an.,
1705,,an insulin shot.,insulin shot by the doctor.,
1706,,The maid is washing the dashes.,The dishes are being washed by the maid.,
1707,,The chief guest has given away the prizes.,The prizes have been given away by the chief guest.,
1708,,who has gobbled up my tiffin.,By whom has my tiffin been gobbled up ?,
1709,,She has sold her maruti.,Her maruti has been sold by her.,
1710,,The british hanged the protesters.,The protesters were hanged by the british.,
1711,,India defeated Pakistan in the cricket match.,Pakistan was defeated in the cricket match by india.,
